time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,en0,pdp_ip0,DeviceOrientation,Event
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:38.,29,1.45,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,-0.3040009,-0.1707153,-1.303543,12.39561,5.411926,-34.31741,276.5193,285.8511,10,-0.2652974,-0.3716226,-0.3829599,-2.639277,-0.1378603,0.008482208,0.8304565,0.0591635,-0.634582,-0.0102097,-0.08029353,0.0502301,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:38.,30,1.5,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,-0.07794189,-0.01766968,-1.024658,11.83705,5.133667,-34.45245,279.1304,288.4622,10,-0.8202193,0.03637132,-0.5040317,-2.662525,-0.1431078,0.000503143,-0.680366,0.09828531,-0.359548,0.008891821,-0.1423802,-0.03594891,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:38.,31,1.55,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,-0.2870331,-0.0174408,-1.080856,11.52286,6.490234,-34.14859,280.6756,290.0074,10,-0.7171192,0.01948901,-0.7293413,-2.698189,-0.139216,-0.02640617,-0.6097417,0.3502397,-1.032318,0.09761118,-0.04186026,-0.03090944,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:39.,32,1.6,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,-0.2060394,0.07365417,-1.021606,11.13885,7.916351,-34.04733,283.2047,292.5366,10,-0.5373101,-0.5863924,0.3064627,-2.722779,-0.1543619,-0.05756145,-0.5603098,-0.8297348,0.3509303,-0.1061639,-0.07187293,-0.1033704,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:39.,33,1.65,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,-0.2629395,0.08744812,-0.9908905,10.96431,8.78598,-34.28366,282.4883,291.8202,10,-0.1430847,0.8256859,-0.4371747,-2.725417,-0.1487793,-0.07217728,-0.07658716,0.7684614,-0.3893972,-0.07716097,0.0127395,0.04162994,128.237.254.209,0.0.0.0,5,3
